,address,zipcode,city,state,latitude,longitude,usecode,bedrooms,amount,last-updated,rent,rentPerUnit,totalMonthlyIncome,downPayment,loanAmount,interestRate,pmiRate,loanTerm_years,paymentsPerYear,taxRate,insuranceRate,monthlyInterest,monthlyPrincipal,monthlyP&I,monthlyTaxes,monthlyInsurance,monthlyPMI,subTotalMonthlyPayment,vacancy,capitalExpenditures,maintenance,subtotalMonthlyReserves,totalMonthlyExpenses,rehabCost,closingCosts,initialInvestment,monthlyCashFlow,yearlyLoanPaydown,appreciationAmount,oneYearNWROI
1800,1271 s troy st,80012,Aurora,CO,39.693269,-104.841432,SingleFamily,2.0,245713.0,01/08/2020,1425.0,1425.0,2850.0,8599.955,237113.04499999998,0.0366,0.01,30,12,0.008,0.005,723.19478725,325.4376542625,1048.6324415125,163.80866666666665,102.38041666666668,197.59420416666669,1512.4157290125,100,100,100,300,1812.4157290125,20000,4914.26,33514.215000000004,1037.5842709875,3905.25185115,14742.779999999999,1.4381671509537073
1699,25092 e 2nd pl,80018,Aurora,CO,39.720634999999994,-104.694847,SingleFamily,4.0,464622.0,01/08/2020,2500.0,833.3333333333334,3333.3333333333335,16261.770000000002,448360.23,0.0366,0.01,30,12,0.008,0.005,1367.4987015,615.374415675,1982.873117175,309.748,193.5925,373.63352499999996,2859.847142175,100,100,100,300,3159.847142175,20000,9292.44,45554.21000000001,173.48619115833344,7384.492988100001,27877.32,1.0392814908215948
1712,354 s vaughn way,80012,Aurora,CO,39.709821999999996,-104.835718,SingleFamily,3.0,339606.0,01/08/2020,1970.0,985.0,2955.0,11886.210000000001,327719.79,0.0366,0.01,30,12,0.008,0.005,999.5453594999999,449.795411775,1449.340771275,226.404,141.5025,273.09982499999995,2090.347096275,100,100,100,300,2390.347096275,20000,6792.12,38678.33,564.6529037250002,5397.5449413,20376.36,1.1471472472053474
1691,25036 e 4th pl,80018,Aurora,CO,39.722994,-104.695725,SingleFamily,4.0,407259.0,01/08/2020,2240.0,746.6666666666666,2986.6666666666665,14254.065,393004.935,0.0366,0.01,30,12,0.008,0.005,1198.66505175,539.3992732875,1738.0643250375,271.50600000000003,169.69125,327.5041125,2506.7656875375005,100,100,100,300,2806.7656875375005,20000,8145.18,42399.245,179.900979129166,6472.791279450001,24435.54,0.991223853844567
1789,11345 e alabama cir,80012,Aurora,CO,39.69458,-104.85560100000001,SingleFamily,2.0,452995.0,01/08/2020,2250.0,2250.0,4500.0,15854.825,437140.175,0.0366,0.01,30,12,0.008,0.005,1333.27753375,599.9748901875,1933.2524239375,301.99666666666667,188.74791666666667,364.28347916666667,2788.2804864375003,100,100,100,300,3088.2804864375003,20000,9059.9,44914.725,1411.7195135624997,7199.69868225,27179.7,1.7437495797870297
1543,2163 kalmia cir,80304,Boulder,CO,40.039208,-105.26948,SingleFamily,4.0,1321812.0,01/08/2020,4396.0,1465.3333333333333,5861.333333333333,46263.420000000006,1275548.58,0.0366,0.01,30,12,0.008,0.005,3890.423169,1750.69042605,5641.11359505,881.2080000000001,550.755,1062.95715,8136.03374505,100,100,100,300,8436.033745050001,20000,26436.24,92699.66000000002,-2574.700411716668,21008.285112600002,79308.72,0.9385643935695123
1946,17433 e ford dr,80017,Aurora,CO,39.698877,-104.785123,SingleFamily,4.0,374403.0,01/08/2020,1995.0,665.0,2660.0,13104.105000000001,361298.89499999996,0.0366,0.01,30,12,0.008,0.005,1101.96162975,495.88273338749997,1597.8443631374998,249.602,156.00125,301.0824125,2304.5300256375,100,100,100,300,2604.5300256375,20000,7488.06,40592.165,55.469974362500125,5950.59280065,22464.18,0.9129942315961714
474,12917 lafayette st,80241,Thornton,CO,39.930909,-104.969401,Condominium,2.0,277888.0,01/08/2020,1649.0,1649.0,3298.0,9726.080000000002,268161.92,0.0366,0.01,30,12,0.008,0.005,817.893856,368.05223520000004,1185.9460912,185.2586666666667,115.78666666666668,223.46826666666666,1710.4596912,100,100,100,300,2010.4596912,20000,5557.76,35283.840000000004,1287.5403088,4416.6268224000005,16673.28,1.5964359471077978
277,6905 s dexter st,80122,Centennial,CO,39.591478,-104.933247,SingleFamily,2.0,380237.0,01/08/2020,2200.0,2200.0,4400.0,13308.295000000002,366928.705,0.0366,0.01,30,12,0.008,0.005,1119.1325502500001,503.60964761250005,1622.7421978625002,253.49133333333336,158.43208333333334,305.77392083333336,2340.4395353625005,100,100,100,300,2640.4395353625005,20000,7604.74,40913.034999999996,1759.5604646374995,6043.31577135,22814.219999999998,1.8666975292104337
290,19753 e belleview pl,80015,Centennial,CO,39.623866,-104.75824,SingleFamily,3.0,450507.0,01/08/2020,2495.0,1247.5,3742.5,15767.745,434739.255,0.0366,0.01,30,12,0.008,0.005,1325.95472775,596.6796274875,1922.6343552375001,300.338,187.71124999999998,362.28271250000006,2772.9663177375,100,100,100,300,3072.9663177375,20000,9010.14,44777.885,669.5336822625,7160.155529850001,27030.42,1.2773041807803116
437,1914 w 102nd ave,80260,Thornton,CO,39.880531,-105.010585,SingleFamily,2.0,252987.0,01/08/2020,1650.0,1650.0,3300.0,8854.545,244132.455,0.0366,0.01,30,12,0.008,0.005,744.6039877499999,335.0717944875,1079.6757822374998,168.658,105.41125,203.44371249999998,1557.1887447374997,100,100,100,300,1857.1887447374997,20000,5059.74,33914.284999999996,1442.8112552625003,4020.8615338499994,15179.22,1.660474829323396
1559,3360 dartmouth ave,80305,Boulder,CO,39.989595,-105.25335,SingleFamily,3.0,640328.0,01/08/2020,2450.0,1225.0,3675.0,22411.480000000003,617916.52,0.0366,0.01,30,12,0.008,0.005,1884.6453860000001,848.0904237000001,2732.7358097,426.88533333333334,266.80333333333334,514.9304333333333,3941.3549097,100,100,100,300,4241.3549097,20000,12806.56,55218.04,-566.3549096999996,10177.085084400002,38419.68,1.023225492393428
200,1017 e davies ave,80122,Centennial,CO,39.589484999999996,-104.97646,SingleFamily,3.0,459149.0,01/08/2020,2350.0,1175.0,3525.0,16070.215000000002,443078.785,0.0366,0.01,30,12,0.008,0.005,1351.39029425,608.1256324125,1959.5159266624999,306.09933333333333,191.31208333333333,369.2323208333333,2826.1596641624997,100,100,100,300,3126.1596641624997,20000,9182.98,45253.19500000001,398.84033583750033,7297.507588949999,27548.94,1.1873754244092598
